"id","accession","organism","geographic_location","source_type","isolation_notes","collection_year","isolation_source","host","public_accession","project_accession","project_name","collected_by","sequenced_by","strain","attribute_package","isolate_name_alias","ifsac_category","serotype2","host_disease","collection_date","source_type_full"
16," SAMN12230854","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095598",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095598","environmental/food/other","CFSAN095598","beef",NA,NA,"2013","food"
17," SAMN12230853","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095587",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095587","environmental/food/other","CFSAN095587","beef",NA,NA,"2013","food"
18," SAMN12230841","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095589",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095589","environmental/food/other","CFSAN095589","beef",NA,NA,"2013","food"
19," SAMN12230835","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095599",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095599","environmental/food/other","CFSAN095599","beef",NA,NA,"2013","food"
20," SAMN12230831","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095593",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095593","environmental/food/other","CFSAN095593","beef",NA,NA,"2013","food"
21," SAMN12230828","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095588",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095588","environmental/food/other","CFSAN095588","beef",NA,NA,"2013","food"
22," SAMN12230825","Escherichia coli","USA:WA","food","beef",2013,"beef",NA,"CFSAN095603",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095603","environmental/food/other","CFSAN095603","beef",NA,NA,"2013","food"
23," SAMN12230590","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095591",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095591","environmental/food/other","CFSAN095591","beef",NA,NA,"2013","food"
24," SAMN12230589","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095586",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095586","environmental/food/other","CFSAN095586","beef",NA,NA,"2013","food"
25," SAMN12230534","Escherichia coli","USA:WA","food","boneless beef",2016,"boneless beef",NA,"CFSAN095621",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095621","environmental/food/other","CFSAN095621","beef",NA,NA,"2016","food"
26," SAMN12230508","Escherichia coli","USA:WA","food","boneless beef",2016,"boneless beef",NA,"CFSAN095611",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095611","environmental/food/other","CFSAN095611","beef",NA,NA,"2016","food"
27," SAMN12230507","Escherichia coli","USA:WA","food","boneless beef",2016,"boneless beef",NA,"CFSAN095610",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095610","environmental/food/other","CFSAN095610","beef",NA,NA,"2016","food"
28," SAMN12230480","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095622",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095622","environmental/food/other","CFSAN095622","beef",NA,NA,"2013","food"
29," SAMN12230476","Escherichia coli","USA:WA","food","boneless beef",2016,"boneless beef",NA,"CFSAN095609",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095609","environmental/food/other","CFSAN095609","beef",NA,NA,"2016","food"
30," SAMN12230462","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095606",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095606","environmental/food/other","CFSAN095606","beef",NA,NA,"2013","food"
31," SAMN12230446","Escherichia coli","USA:WA","food","boneless beef",2016,"boneless beef",NA,"CFSAN095612",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095612","environmental/food/other","CFSAN095612","beef",NA,NA,"2016","food"
32," SAMN12230429","Escherichia coli","USA:WA","food","boneless beef",2019,"boneless beef",NA,"CFSAN095584",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095584","environmental/food/other","CFSAN095584","beef",NA,NA,"2019","food"
33," SAMN12127386","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095394",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095394","environmental/food/other","CFSAN095394","beef",NA,NA,"2013","food"
34," SAMN12127384","Escherichia coli","USA:WA","food","beef trim",2013,"beef trim",NA,"CFSAN095398",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095398","environmental/food/other","CFSAN095398","beef",NA,NA,"2013","food"
35," SAMN12127359","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095397",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095397","environmental/food/other","CFSAN095397","beef",NA,NA,"2013","food"
36," SAMN12127355","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095393",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095393","environmental/food/other","CFSAN095393","beef",NA,NA,"2013","food"
37," SAMN12127330","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095396",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095396","environmental/food/other","CFSAN095396","beef",NA,NA,"2013","food"
38," SAMN12127201","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095404",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095404","environmental/food/other","CFSAN095404","beef",NA,NA,"2013","food"
39," SAMN12127200","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095400",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095400","environmental/food/other","CFSAN095400","beef",NA,NA,"2013","food"
40," SAMN12127197","Escherichia coli","USA:WA","food","boneless beef",2013,"boneless beef",NA,"CFSAN095406",NA,"GenomeTrakr","FDA Contracted Laboratory","OSF","CFSAN095406","environmental/food/other","CFSAN095406","beef",NA,NA,"2013","food"
41," SAMN10501767","Escherichia coli","USA:WA","food","flour",2018,"flour",NA,"CFSAN088653",NA,"GenomeTrakr","FDA Contracted Laboratory","FDA Center for Food Safety and Applied Nutrition","CFSAN088653","environmental/food/other","CFSAN088653","grains",NA,NA,"2018","food"
42," SAMN10501765","Escherichia coli","USA:WA","food","flour",2018,"flour",NA,"CFSAN088652",NA,"GenomeTrakr","FDA Contracted Laboratory","FDA Center for Food Safety and Applied Nutrition","CFSAN088652","environmental/food/other","CFSAN088652","grains",NA,NA,"2018","food"
43," SAMN10501696","Escherichia coli","USA:WA","food","flour",2018,"flour",NA,"CFSAN088654",NA,"GenomeTrakr","FDA Contracted Laboratory","FDA Center for Food Safety and Applied Nutrition","CFSAN088654","environmental/food/other","CFSAN088654","grains",NA,NA,"2018","food"
44," SAMN05326696","Escherichia coli","USA:WA","food","beef",2015,"beef",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN050969","environmental/food/other","CFSAN050969","beef","O103",NA,"2015-05-27","food"
46," SAMN04429933","Escherichia coli","USA:WA","environmental","environmental",2015,"environmental",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045228","environmental/food/other","CFSAN045228","environmental",NA,NA,"2015-03-04","environmental"
47," SAMN04429932","Escherichia coli","USA:WA","environmental","environmental",2015,"environmental",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045227","environmental/food/other","CFSAN045227","environmental",NA,NA,"2015-03-04","environmental"
48," SAMN04429929","Escherichia coli","USA:WA","food","venison",2015,"venison",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045224","environmental/food/other","CFSAN045224","game",NA,NA,"2015-02-12","food"
49," SAMN04429928","Escherichia coli","USA:WA","food","venison",2015,"venison",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045223","environmental/food/other","CFSAN045223","game",NA,NA,"2015-02-12","food"
50," SAMN04429927","Escherichia coli","USA:WA","food","venison",2015,"venison",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045222","environmental/food/other","CFSAN045222","game",NA,NA,"2015-02-12","food"
51," SAMN04429926","Escherichia coli","USA:WA","food","venison",2015,"venison",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045221","environmental/food/other","CFSAN045221","game",NA,NA,"2015-02-12","food"
52," SAMN04429925","Escherichia coli","USA:WA","food","venison",2015,"venison",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045220","environmental/food/other","CFSAN045220","game",NA,NA,"2015-02-12","food"
53," SAMN04422326","Escherichia coli","USA:WA","food","beef",2014,"beef",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045085","environmental/food/other","CFSAN045085","beef",NA,NA,"2014-09-30","food"
54," SAMN04422324","Escherichia coli","USA:WA","food","beef",2014,"beef",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045083","environmental/food/other","CFSAN045083","beef",NA,NA,"2014-09-24","food"
55," SAMN04422323","Escherichia coli","USA:WA","food","beef",2014,"beef",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045082","environmental/food/other","CFSAN045082","beef",NA,NA,"2014-09-24","food"
56," SAMN04422322","Escherichia coli","USA:WA","food","beef",2014,"beef",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045081","environmental/food/other","CFSAN045081","beef",NA,NA,"2014-09-17","food"
57," SAMN04422313","Escherichia coli","USA:WA","food","beef",2014,"beef",NA,NA,NA,NA,"FDA Contracted Laboratory",NA,"CFSAN045072","environmental/food/other","CFSAN045072","beef",NA,NA,"2014-08-30","food"
58," SAMN26418546","Escherichia coli","USA:WA","animal","Cow, (Bovine)",1985,"Cow, (Bovine)",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Pennsylvania State University | Escherichia coli Reference Center","Virginia Division of Consolidated Laboratory Services","85.1104",NA,NA,NA,NA,NA,"1985-01-01","animal"
59," SAMN26418545","Escherichia coli","USA:WA","animal","Cow, (Bovine)",1985,"Cow, (Bovine)",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Pennsylvania State University | Escherichia coli Reference Center","Virginia Division of Consolidated Laboratory Services","85.1095",NA,NA,NA,NA,NA,"1985-01-01","animal"
61," SAMN06684366","Escherichia coli","USA:WA","food","food",2020,"food",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"10.094","environmental/food/other","CFSAN062680","multi-ingredient",NA,NA,"2010","food"
62," SAMN06684365","Escherichia coli","USA:WA","food","food",2020,"food",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"10.0941","environmental/food/other","CFSAN062681","multi-ingredient",NA,NA,"2010","food"
63," SAMN06684361","Escherichia coli","USA:WA","food","food",2020,"food",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"10.0816","environmental/food/other","CFSAN062676","multi-ingredient",NA,NA,"2010","food"
64," SAMN06684360","Escherichia coli","USA:WA","food","food",2020,"food",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"10.0817","environmental/food/other","CFSAN062677","multi-ingredient",NA,NA,"2010","food"
65," SAMN06684359","Escherichia coli","USA:WA","food","food",2020,"food",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"10.0819","environmental/food/other","CFSAN062678","multi-ingredient",NA,NA,"2010","food"
66," SAMN06684358","Escherichia coli","USA:WA","food","food",2020,"food",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"10.0938","environmental/food/other","CFSAN062679","multi-ingredient",NA,NA,"2010","food"
67," SAMN06684357","Escherichia coli","USA:WA","food","food",2020,"food",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"10.0815","environmental/food/other","CFSAN062675","multi-ingredient",NA,NA,"2010","food"
68," SAMN25652767","Escherichia coli","USA:WA","food","retail raw whole milk goat",2022,"retail raw whole milk goat",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Washington State Department of Agriculture","Washington State Department of Agriculture","WSDA134",NA,NA,"dairy| other animal",NA,NA,"2022-01-18","food"
69," SAMN25046351","Escherichia coli","USA:WA","animal","swine feces",2019,"swine feces",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Kansas State University Veterinary Diagnostic Laboratory","Washington State Department of Agriculture","WSDA101",NA,NA,"veterinary clinical/research| pig",NA,NA,"2019-09-02","animal"
70," SAMN25046350","Escherichia coli","USA:WA","animal","swine feces",2019,"swine feces",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Kansas State University Veterinary Diagnostic Laboratory","Washington State Department of Agriculture","WSDA100",NA,NA,"veterinary clinical/research| pig",NA,NA,"2019-09-02","animal"
71," SAMN25046349","Escherichia coli","USA:WA","animal","swine feces",2019,"swine feces",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Kansas State University Veterinary Diagnostic Laboratory","Washington State Department of Agriculture","WSDA99",NA,NA,"veterinary clinical/research| pig",NA,NA,"2019-09-02","animal"
72," SAMN25046348","Escherichia coli","USA:WA","animal","swine feces",2019,"swine feces",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Kansas State University Veterinary Diagnostic Laboratory","Washington State Department of Agriculture","WSDA98",NA,NA,"veterinary clinical/research| pig",NA,NA,"2019-09-02","animal"
73," SAMN25044506","Escherichia coli","USA:WA","food","retail raw cream cow",2021,"retail raw cream cow",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Washington State Department of Agriculture","Washington State Department of Agriculture","WSDA117",NA,NA,"dairy",NA,NA,"2021-12-13","food"
74," SAMN23341794","Escherichia coli","USA:WA","food","retail raw whole milk goat",2021,"retail raw whole milk goat",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Washington State Department of Agriculture","Washington State Department of Agriculture","WSDA96","environmental/food/other",NA,"non-dairy beverage| other animal",NA,NA,"2021-10-18","food"
75," SAMN22416944","Escherichia coli","USA:WA","food","retail raw whole milk cow",2021,"retail raw whole milk cow",NA,NA,NA,"GenomeTrakr; LFFM-FY2","Washington State Department of Agriculture","Washington State Department of Agriculture","WSDA89","environmental/food/other",NA,"dairy",NA,NA,"2021-10-05","food"
76," SAMN19273706","Escherichia coli","USA:WA","food","duck",2007,"duck",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"PSU-4138","environmental/food/other",NA,"poultry",NA,NA,"2007-01-01","food"
77," SAMN19272678","Escherichia coli","USA:WA","food","duck",2007,"duck",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"PSU-4137","environmental/food/other",NA,"poultry",NA,NA,"2007-01-01","food"
78," SAMN19272677","Escherichia coli","USA:WA","food","duck",2007,"duck",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"PSU-4140","environmental/food/other",NA,"poultry",NA,NA,"2007-01-01","food"
79," SAMN19272669","Escherichia coli","USA:WA","food","duck",2007,"duck",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"PSU-4139","environmental/food/other",NA,"poultry",NA,NA,"2007-01-01","food"
80," SAMN19272663","Escherichia coli","USA:WA","food","duck",2007,"duck",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"PSU-4141","environmental/food/other",NA,"poultry",NA,NA,"2007-01-01","food"
81," SAMN18929213","Escherichia coli","USA:WA","animal","cow",2019,"cow",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"PSU-3809","environmental/food/other",NA,"cow",NA,NA,"2019-01-01","animal"
82," SAMN18836277","Escherichia coli","USA:WA","animal","feces cow bovine",2019,"feces cow bovine",NA,NA,NA,NA,"Pennsylvania State University | Escherichia coli Reference Center",NA,"PSU-3810","environmental/food/other",NA,"veterinary clinical/research| cow",NA,NA,"2019-01-01","animal"
83," SAMN18492554","Escherichia coli","USA:WA","food","raw whole milk cow",2021,"raw whole milk cow",NA,NA,NA,NA,"Washington State Department of Agriculture",NA,"WSDA5","environmental/food/other",NA,"dairy",NA,NA,"2021-02-16","food"
84," SAMN18472700","Escherichia coli","USA:WA","food","raw cream cow",2021,"raw cream cow",NA,NA,NA,NA,"Washington State Department of Agriculture",NA,"WSDA4","environmental/food/other",NA,"dairy",NA,NA,"2021-02-16","food"
85," SAMN17816929","Escherichia coli","USA:WA","food","raw whole milk cow",2021,"raw whole milk cow",NA,NA,NA,NA,"Washington State Department of Agriculture",NA,"WSDA3","environmental/food/other",NA,"dairy",NA,NA,"2021-01-25","food"
86," SAMN17098073","Escherichia coli","USA:WA","food","raw cream cow",2020,"raw cream cow",NA,NA,NA,NA,"Washington State Department of Agriculture",NA,"WSDA1","environmental/food/other",NA,"dairy",NA,NA,"2020-12","food"
87," SAMN16439289","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE062205","environmental/food/other","440818-011","environmental-water",NA,NA,"2020-08-25","environmental"
88," SAMN16439281","Escherichia coli","USA:WA","food","cream",2020,"cream",NA,NA,NA,NA,"Washington State Department of Health | Public Health Laboratories",NA,"PNUSAE062201","environmental/food/other",NA,"dairy",NA,NA,"2020-09-22","food"
89," SAMN16377219","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE061764","environmental/food/other","440818-004","environmental-water",NA,NA,"2020-08-25","environmental"
90," SAMN16377218","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE061759","environmental/food/other","440818-005","environmental-water",NA,NA,"2020-08-25","environmental"
91," SAMN16377217","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE061766","environmental/food/other","440818-006","environmental-water",NA,NA,"2020-08-25","environmental"
92," SAMN16257947","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060789","environmental/food/other","WA0435058-008-1257","environmental-water",NA,NA,"2020-08-11","environmental"
93," SAMN16257946","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060787","environmental/food/other","440818-002","environmental-water",NA,NA,"2020-08-25","environmental"
94," SAMN16257945","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060785","environmental/food/other","440818-003","environmental-water",NA,NA,"2020-08-25","environmental"
95," SAMN16257944","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060788","environmental/food/other","440685-009","environmental-water",NA,NA,"2020-08-24","environmental"
96," SAMN16257943","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060790","environmental/food/other","440688-003","environmental-water",NA,NA,"2020-08-24","environmental"
97," SAMN16257942","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060783","environmental/food/other","440685-006","environmental-water",NA,NA,"2020-08-24","environmental"
98," SAMN16257941","Escherichia coli","USA:WA","animal","stool",2019,"stool",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060786","environmental/food/other","AN0117 CRC-1773","veterinary clinical/research",NA,NA,"2019-10-26","animal"
99," SAMN16202558","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060287","environmental/food/other","440685-010","environmental-water",NA,NA,"2020-08-24","environmental"
100," SAMN16202557","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060282","environmental/food/other","440685-018","environmental-water",NA,NA,"2020-08-24","environmental"
101," SAMN16202556","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060288","environmental/food/other","440685-011","environmental-water",NA,NA,"2020-08-24","environmental"
102," SAMN16202555","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060274","environmental/food/other","440685-017","environmental-water",NA,NA,"2020-08-24","environmental"
103," SAMN16202554","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060277","environmental/food/other","440685-012","environmental-water",NA,NA,"2020-08-24","environmental"
104," SAMN16202553","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060279","environmental/food/other","440688-002","environmental-water",NA,NA,"2020-08-24","environmental"
105," SAMN16136490","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060127","environmental/food/other","WA0420731-001-1243","environmental-water",NA,NA,"2020-07-05","environmental"
106," SAMN16136489","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060123","environmental/food/other","440685-004","environmental-water",NA,NA,"2020-08-24","environmental"
107," SAMN16136488","Escherichia coli","USA:WA","environmental","water",2020,"water",NA,NA,NA,"GenomeTrakr-LFFM;FY1","Washington State Department of Health | Public Health Laboratories","Washington State Department of Health | Public Health Laboratories","PNUSAE060138","environmental/food/other","WA0420732-003-1244","environmental-water",NA,NA,"2020-07-05","environmental"
